id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
C863 T78d,"Día Que terminó el Verano y Otros Cuentos, El","Truque, Carlos Arturo",Instituto Colombiano de Cultura,152,-,1,f,099C
002 A66t,También Usted Puede Hacerlo,Anónimo,"Salvat Editores, S.A.",140,-,1,f,038A
813 B25m,"Memorias de Mosby y Otros Relatos, Las","Bellow, Saul","Salvat Editores, S.A.",182,-,1,f,060B
523 R65s,Secretos del Cosmos,"Roman, Colin A.","Salvat Editores, S.A.",188,-,1,t,002A
823 S82i,"Isla del Tesoro, La","Stevenon, Robert Louis","Salvat Editores, S.A.",190,-,1,t,021A
574 P46m,"Mente Humana, La","Pinillos, Jose Luis","Salvat Editores, S.A.",182,-,1,t,024A
001 M47v,Visado Para el Futuro,"Miravitlles, Luis","Salvat Editores, S.A.",188,-,1,t,028A
813 C51o,"Odisea Espacial 2001, Una","Clarke, Arthur C.","Salvat Editores, S.A.",190,-,1,t,052A
900 M15c,"Conquista de la Tierra, La","Maluquer de Motes, Juan","Salvat Editores, S.A.",198,-,1,t,056A
861 A66p,Poma de Mio Cid,Anónimo,"Salvat Editores, S.A.",156,-,1,t,066A
508 G17i,Izquierda y Derecha en el Cosmos,"Gardner, Martin","Salvat Editores, S.A.",238,-,1,t,066B
808 M47s,Sendero Cheyene,"Miranda, N.",Editorial 'Cies' Vigo,126,-,1,f,-
861 A66 p,Poema de Mío Cid,Anónimo,Alonso - Ediciones,128,-,1,f,-
C863 B27c,"Cuentos, Relatos y 'Miedo'","Bernal C., Juan de Dios",-,98,-,1,f,-
C861 C16v,"Voz en la Penumbra, La","Cañaveral, Jesús",Al Revés,100,-,1,f,-
590.1 C17c,"Conducta de los Animales, La","Carthy, J.D.","Salvat Editores, S.A.",178,-,1,f,013A
595.7 H83m,"Mundo de los Insectos, El","Hugh Newman, L.","Salvat Editores, S.A.",188,-,1,f,084A
V863 U85l,"Lanzas Coloradas, Las","Uslar Pietri, Arturo","Salvat Editores, S.A.",174,-,1,f,029A
923 S16a1,Antonio Nariño I,"Santos Molano, Enrique",Instituto Colombiano de Cultura,104,-,1,f,047C
923 S16a2,Antonio Nariño II,"Santos Molano, Enrique",Instituto Colombiano de Cultura,128,-,1,f,048C
460 R68n,Nuestra Lengua en Ambos Mundos,"Rosenblat, Angel","Salvat Editores, S.A.",206,-,1,f,017B
530 G15b,Biografía de la Física,"Gamow, George","Salvat Editores, S.A.",264,-,1,f,011B
600 C51h,"Hombre y la Tierra, El","Clark, Ronald W…","Salvat Editores, S.A.",130,-,1,f,002B
759 G15p,Pintura Contemporanea,"Gallego, Julián","Salvat Editores, S.A.",104,-,1,f,008B
813 L29e,Este Inmenso Mundo,"Lewis, Sinclair","Salvat Editores, S.A.",166,-,1,f,098B
822 S31r,Romeo y Julieta,"Shakespeare, William","Salvat Editores, S.A.",156,-,1,f,010B
823 C31c,Cuentos de Canterbury,"Chaucer, Geoffrey","Salvat Editores, S.A.",190,-,1,f,085A
823 W66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",154,-,1,f,099B
833 M16r,Relato de mi Vida,"Mann, Thomas","Salvat Editores, S.A.",158,-,1,f,098A
843 D18c,Cartas Desde mi Molino,"Daudet, Alphonse","Salvat Editores, S.A.",172,-,1,f,092A
843 M18b,Bernardo Quesnay,"Maurois, André","Salvat Editores, S.A.",172,-,1,f,015B
843 M18p,Pedro y Juan - Bola de Sebo,"Maupassant, Guy de","Salvat Editores, S.A.",188,-,1,f,099A
843 V27f,"Faro del fin del Mundo, El","Verne, Julio","Salvat Editores, S.A.",174,-,1,f,012B
853 M67m,"Mascarada, La","Moravia, Alberto","Salvat Editores, S.A.",152,-,1,f,007B
861 B21a,Antología,"Becquer, Gustavo Adolfo","Salvat Editores, S.A.",180,-,1,f,-00A
861 G17r,Romancerro Gitano - Yerma,"García Lorca, Federico","Salvat Editores, S.A.",142,-,1,f,004B
861 R68p,Poesía Española del Siglo de Oro,"Roslaes, Luis","Salvat Editores, S.A.",200,-,1,f,087A
863 G69d,Duelo en el Paraíso,"Goytisolo, Juan","Salvat Editores, S.A.",214,-,1,f,032B
862 B82h,Historia de una Escalera - Llegada de los Dioses,"Buero Vallejo, Antonio","Salvat Editores, S.A.",158,-,1,f,097B
863 A51e,"Escándalo, El","Alarcón, Pedro Antonio de","Salvat Editores, S.A.",278,-,1,f,086A
863 A51n,"Niño de la Bola, El","Alarcón, Pedro Antonio de","Salvat Editores, S.A.",198,-,1,f,014B
863 C18a,Antología,"Castro, Rosalía de","Salvat Editores, S.A.",202,-,1,f,006B
863 C25f,"Familia de Pascual Duarte, La","Cela, Camilo José","Salvat Editores, S.A.",178,-,1,f,003B
808 A92d,Discusión en la Escuela y Otros Cuentos,"Averchenko, Arkady…",Instituto Colombiano de Cultura,168,-,1,f,060C
869.3 Q82a,Alves & Cía.,"Queiroz, Eça de","Salvat Editores, S.A.",134,-,1,f,024B
862 A76s,"Señorita de Treveles, La - Es mi Hombre","Arniches, Carlos","Salvat Editores, S.A.",198,-,1,f,090A
863 D15c,Cinco Horas con Mario,"Delibes, Miguel","Salvat Editores, S.A.",192,-,1,f,013B
615 M18m,"Médico Aconseja, El","Mascaro Porcar, José María","Salvat Editores, S.A.",184,-,1,f,006A
863 M17u,Últimas Tardes con Teresa,"Marse, Juan","Salvat Editores, S.A.",278,-,1,f,096A
863 M18a,Algunos Muchacho y Otros Cuentos,"Matute, Ana María","Salvat Editores, S.A.",188,-,1,f,089A
864 O78e,Estudios Sobre el Amor,"Ortega y Gasset, José","Salvat Editores, S.A.",152,-,1,f,009B
865 C12c,Cartas Marruecas,"Cadalso, José","Salvat Editores, S.A.",182,-,1,f,-00B
885 J26r,Recuerdos de Sócrates,Jenofonte,"Salvat Editores, S.A.",174,-,1,f,019B
891.2 B85n,Novela Teatral,"Bulgakov, Mijail A.","Salvat Editores, S.A.",188,-,1,f,018B
891.3 P88d,"Dubrovski - Relatos de Belkin, Los","Pushkin, Alejandro Sergievich","Salvat Editores, S.A.",182,-,1,f,088A
891.3 P88h,"Hija del Capitán, La","Pushkin, Alejandro Sergievich","Salvat Editores, S.A.",146,-,1,f,005B
891.3 S36c,Cuentos del Don,"Shólojov, Mijaíl Alexándrovich","Salvat Editores, S.A.",190,-,1,f,095A
909 M15f,"Fundamentos del Siglo XX, Los","Maluquer de Montes, Juan","Salvat Editores, S.A.",220,-,1,f,094A
E863 O78j,Juyungo,"Ortiz, Adalberto","Salvat Editores, S.A.",236,-,1,f,097A
G863 A88p,"Papa verde, El","Asturias, miguel Ángel","Salvat Editores, S.A.",258,-,1,f,001B
M863 F82c,Chac Mool y Otros Cuentos,"Fuentes, Carlos","Salvat Editores, S.A.",124,-,1,f,096B
V863 G15t,Tierra Bajo los Pies,"Gallegos, Rómulo","Salvat Editores, S.A.",190,-,1,f,016B
V863 O82c,Casas Muertas,"Otero Silva, Miguel","Salvat Editores, S.A.",186,-,1,f,091A
292 G19d,"Dioses, Héroes y Monstruos","Gavaldá, Antonio C.",Editoial Mateu,320,-,1,f,-
